City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,68.95,few clouds,-22.9661,-42.0278,Pousada Porto Praia
3,Victoria,HK,79.97,overcast clouds,22.2855,114.1577,Mini Central
11,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Rikitea,PF,75.6,light rain,-23.1203,-134.9692,People ThankYou
17,Campbellsville,US,71.94,broken clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
22,Busselton,AU,68.29,scattered clouds,-33.65,115.3333,Observatory Guest House
23,Carnarvon,AU,76.15,few clouds,-24.8667,113.6333,Hospitality Carnarvon
24,Saint-Philippe,RE,67.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
46,Hamilton,US,67.39,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
48,Albany,US,77.52,broken clouds,42.6001,-73.9662,
49,Tucupita,VE,72.81,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
60,Pangoa,PE,68.86,broken clouds,-12.1167,-73.0,
62,San Andres,CO,78.82,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
66,Puerto Ayora,EC,71.24,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
68,Qitaihe,CN,67.44,scattered clouds,45.8,130.85,Baiyun Hostel
70,Praia Da Vitoria,PT,66.45,broken clouds,38.7333,-27.0667,Hotel Branco I
72,Gat,IL,68.77,broken clouds,31.61,34.7642,OlusHome
75,Geraldton,AU,77.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
82,Houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
86,Marsh Harbour,BS,78.6,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
90,Togur,RU,66.51,scattered clouds,58.3631,82.8265,
91,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
98,Atuona,PF,77.7,light rain,-9.8,-139.0333,Villa Enata
99,Fairbanks,US,71.6,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
101,Acarau,BR,75.56,few clouds,-2.8856,-40.12,castelo pizzaria
102,Ponta Do Sol,PT,66.83,broken clouds,32.6667,-17.1,Hotel do Campo
107,Aginskoye,RU,70.21,scattered clouds,51.1,114.53,Кочевник
110,Bethel,US,74.77,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
116,Belmonte,BR,71.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
121,Locri,IT,68.32,clear sky,38.2414,16.2623,Grand Hotel President
127,Katsuura,JP,65.37,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
128,Ouesso,CG,69.76,overcast clouds,1.6136,16.0517,ABENIE Hotel
131,Beloha,MG,65.21,clear sky,-25.1667,45.05,
132,Airai,TL,74.32,scattered clouds,-8.9266,125.4092,
137,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
140,Sao Felix Do Xingu,BR,69.17,clear sky,-6.6447,-51.995,Rio Xingu Camping
141,Xuddur,SO,72.54,broken clouds,4.1213,43.8894,Banjanay Hotel
143,Wenling,CN,70.88,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
147,Erzin,TR,72.1,clear sky,36.9559,36.2,Artemis Otel
