City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,68.95,72,13,5.91,few clouds
1,Hobart,AU,-42.8794,147.3294,57.25,73,75,10.36,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,56.01,79,33,7.09,scattered clouds
3,Victoria,HK,22.2855,114.1577,79.97,85,96,13.0,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,56.12,89,0,5.75,clear sky
5,Vestmannaeyjar,IS,63.4427,-20.2734,48.25,80,15,10.13,few clouds
6,Chernyshevskiy,RU,63.0128,112.4714,61.54,40,97,8.52,overcast clouds
7,Tasiilaq,GL,65.6145,-37.6368,32.16,71,57,2.35,broken clouds
8,Faya,SA,18.3851,42.4509,61.32,11,35,5.28,scattered clouds
9,Ahipara,NZ,-35.1667,173.1667,62.58,69,100,12.57,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,43.56,83,83,8.79,broken clouds
11,Mahebourg,MU,-20.4081,57.7,71.89,88,40,14.97,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,75.6,76,4,13.53,light rain
13,Yellowknife,CA,62.456,-114.3525,43.32,100,100,9.22,light intensity shower rain
14,Uyovu,TZ,-3.2833,31.5258,61.83,84,100,2.1,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,37.51,75,75,4.61,light rain
16,Qaanaaq,GL,77.484,-69.3632,12.51,88,99,5.91,overcast clouds
17,Campbellsville,US,37.3434,-85.3419,71.94,63,74,5.06,broken clouds
18,Thompson,CA,55.7435,-97.8558,39.36,65,20,0.0,few clouds
19,Grindavik,IS,63.8424,-22.4338,43.27,87,0,20.71,clear sky
20,Ushuaia,AR,-54.8,-68.3,37.06,81,0,2.3,clear sky
21,Talnakh,RU,69.4865,88.3972,47.21,85,99,5.46,overcast clouds
22,Busselton,AU,-33.65,115.3333,68.29,70,42,21.41,scattered clouds
23,Carnarvon,AU,-24.8667,113.6333,76.15,58,16,22.37,few clouds
24,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,22,7.83,few clouds
25,Jamestown,US,42.097,-79.2353,64.04,95,100,8.01,overcast clouds
26,Grandview,US,38.8858,-94.533,53.55,65,0,9.22,clear sky
27,Goderich,CA,43.7501,-81.7165,57.52,88,100,3.44,overcast clouds
28,Castro,BR,-24.7911,-50.0119,43.99,81,1,2.28,clear sky
29,Leningradskiy,RU,69.3833,178.4167,34.21,96,100,11.36,overcast clouds
30,Kapaa,US,22.0752,-159.319,80.58,84,40,12.66,scattered clouds
31,Nikolskoye,RU,59.7035,30.7861,44.49,58,0,6.24,clear sky
32,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,75,9.22,broken clouds
33,Bluff,NZ,-46.6,168.3333,48.9,62,72,22.28,broken clouds
34,Nathdwara,IN,24.9333,73.8167,85.19,43,0,14.65,clear sky
35,Provideniya,RU,64.3833,-173.3,49.93,51,99,9.98,overcast clouds
36,Coihueco,CL,-36.6167,-71.8333,47.14,93,100,3.44,overcast clouds
37,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,40,14.97,light rain
38,Ornskoldsvik,SE,63.2909,18.7153,41.95,81,20,2.3,few clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,48.94,91,23,4.0,fog
40,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,11.5,few clouds
41,Saquarema,BR,-22.92,-42.5103,63.72,89,17,5.48,few clouds
42,Dingle,PH,10.9995,122.6711,86.18,68,100,6.46,overcast clouds
43,Port Elizabeth,ZA,-33.918,25.5701,46.69,100,0,4.61,clear sky
44,Dikson,RU,73.5069,80.5464,28.51,90,62,11.86,broken clouds
45,Tuatapere,NZ,-46.1333,167.6833,46.02,71,66,14.92,broken clouds
46,Hamilton,US,39.1834,-84.5333,67.39,96,100,4.61,light rain
47,Hilo,US,19.7297,-155.09,85.28,73,100,6.91,overcast clouds
48,Albany,US,42.6001,-73.9662,77.52,85,52,2.57,broken clouds
49,Tucupita,VE,9.0622,-62.051,72.81,93,33,3.49,scattered clouds
50,Vardo,NO,70.3705,31.1107,39.18,87,75,17.27,light rain
51,Ancud,CL,-41.8697,-73.8203,53.55,95,100,29.01,heavy intensity rain
52,Bredasdorp,ZA,-34.5322,20.0403,51.4,84,45,6.44,scattered clouds
53,San Fernando,PH,15.0286,120.6898,88.79,58,100,8.66,overcast clouds
54,Lebu,CL,-37.6167,-73.65,52.03,90,96,14.14,light rain
55,Kodiak,US,57.79,-152.4072,47.71,87,100,26.46,light rain
56,Barrow,US,71.2906,-156.7887,21.22,93,100,9.22,overcast clouds
57,Khandyga,RU,62.6667,135.6,52.41,46,87,4.29,overcast clouds
58,Petauke,ZM,-14.2426,31.3253,61.16,83,89,4.61,overcast clouds
59,Port Alfred,ZA,-33.5906,26.891,57.13,80,3,5.1,clear sky
60,Pangoa,PE,-12.1167,-73.0,68.86,83,58,2.1,broken clouds
61,Guerrero Negro,MX,27.9769,-114.0611,60.85,78,94,14.12,overcast clouds
62,San Andres,CO,12.5847,-81.7006,78.82,89,100,3.44,overcast clouds
63,Port Moresby,PG,-9.4431,147.1797,89.02,66,40,17.27,haze
64,Kauhajoki,FI,62.4333,22.1833,39.18,54,100,4.21,overcast clouds
65,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,0,16.11,clear sky
66,Puerto Ayora,EC,-0.7393,-90.3518,71.24,89,66,5.84,broken clouds
67,Avarua,CK,-21.2078,-159.775,78.85,78,75,5.75,broken clouds
68,Qitaihe,CN,45.8,130.85,67.44,39,36,9.84,scattered clouds
69,Ilulissat,GL,69.2167,-51.1,35.62,75,100,8.05,overcast clouds
70,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,94,75,5.57,broken clouds
71,Zyryanka,RU,65.75,150.85,55.18,38,97,10.29,overcast clouds
72,Gat,IL,31.61,34.7642,68.77,100,72,9.01,broken clouds
73,Ambon,ID,-3.6954,128.1814,87.94,66,40,3.44,scattered clouds
74,Berdigestyakh,RU,62.0989,126.6992,60.66,32,94,1.86,overcast clouds
75,Geraldton,AU,-28.7667,114.6,77.41,53,75,28.77,broken clouds
76,Tiksi,RU,71.6872,128.8694,31.15,93,100,5.46,overcast clouds
77,Coquimbo,CL,-29.9533,-71.3436,53.33,100,75,3.44,broken clouds
78,Georgetown,MY,5.4112,100.3354,87.75,74,40,3.44,thunderstorm
79,Yar-Sale,RU,66.8333,70.8333,34.41,70,100,14.45,overcast clouds
80,Rocha,UY,-34.4833,-54.3333,48.36,90,1,4.38,clear sky
81,Clyde River,CA,70.4692,-68.5914,19.63,93,100,11.5,overcast clouds
82,Houma,US,29.5958,-90.7195,77.0,87,0,8.05,clear sky
83,Ternate,ID,0.8,127.4,84.79,67,85,5.19,overcast clouds
84,Butaritari,KI,3.0707,172.7902,81.43,78,89,11.54,light rain
85,Wadena,US,46.4425,-95.1361,42.55,70,40,4.61,scattered clouds
86,Marsh Harbour,BS,26.5412,-77.0636,78.6,88,26,12.97,scattered clouds
87,San Juan,AR,-31.5375,-68.5364,55.33,31,87,3.2,overcast clouds
88,Rawson,AR,-43.3002,-65.1023,57.87,46,80,20.6,broken clouds
89,Port Blair,IN,11.6667,92.75,87.84,74,40,11.5,mist
90,Togur,RU,58.3631,82.8265,66.51,48,30,10.51,scattered clouds
91,Naze,JP,28.3667,129.4833,76.12,71,90,10.18,overcast clouds
92,Senno,RU,59.5336,33.9167,38.26,56,8,6.22,clear sky
93,Mount Gambier,AU,-37.8333,140.7667,62.73,50,2,4.43,clear sky
94,Bairiki,KI,1.3292,172.9752,86.0,74,75,9.22,light rain
95,Cedar City,US,37.6775,-113.0619,56.37,19,0,9.22,clear sky
96,Ribeira Grande,PT,38.5167,-28.7,64.08,94,100,1.63,overcast clouds
97,Auki,SB,-8.7676,160.7034,84.42,67,31,2.8,scattered clouds
98,Atuona,PF,-9.8,-139.0333,77.7,78,21,8.05,light rain
99,Fairbanks,US,64.8378,-147.7164,71.6,32,0,11.5,clear sky
100,Iqaluit,CA,63.7506,-68.5145,31.73,86,100,21.85,light snow
101,Acarau,BR,-2.8856,-40.12,75.56,87,13,7.87,few clouds
102,Ponta Do Sol,PT,32.6667,-17.1,66.83,79,79,3.33,broken clouds
103,Taltal,CL,-25.4,-70.4833,61.57,70,17,1.59,few clouds
104,Kununurra,AU,-15.7667,128.7333,89.58,25,5,9.22,clear sky
105,Letka,RU,59.6011,49.4232,32.79,91,99,9.42,light snow
106,East London,ZA,-33.0153,27.9116,49.14,93,0,3.44,clear sky
107,Aginskoye,RU,51.1,114.53,70.21,27,34,22.12,scattered clouds
108,Straumen,NO,63.8709,11.2999,48.2,85,100,0.94,overcast clouds
109,Stornoway,GB,58.2093,-6.3865,51.93,94,100,18.41,overcast clouds
110,Bethel,US,41.3712,-73.414,74.77,84,2,3.47,clear sky
111,Ust-Maya,RU,60.4167,134.5333,49.26,49,87,6.02,overcast clouds
112,Tromso,NO,69.6496,18.957,44.62,81,100,1.14,overcast clouds
113,Saskylakh,RU,71.9167,114.0833,34.75,100,100,4.83,overcast clouds
114,Port Hawkesbury,CA,45.6169,-61.3485,52.74,76,100,6.91,overcast clouds
115,Kigali,RW,-1.95,30.0588,62.08,93,40,4.61,scattered clouds
116,Belmonte,BR,-15.8631,-38.8828,71.6,74,26,9.64,scattered clouds
117,Port Hardy,CA,50.6996,-127.4199,53.78,82,20,5.75,fog
118,Alyangula,AU,-13.8483,136.4192,84.25,63,36,14.32,scattered clouds
119,Richards Bay,ZA,-28.783,32.0377,62.19,80,100,19.46,overcast clouds
120,Vaini,TO,-21.2,-175.2,80.76,74,40,6.91,scattered clouds
121,Locri,IT,38.2414,16.2623,68.32,66,0,13.31,clear sky
122,Beyneu,KZ,45.3167,55.2,57.47,57,97,14.07,overcast clouds
123,Codrington,AU,-38.2667,141.9667,59.79,57,5,7.09,clear sky
124,Esso,RU,55.9333,158.7,39.54,100,100,3.33,overcast clouds
125,Alofi,NU,-19.0595,-169.9187,80.49,78,24,5.75,few clouds
126,Kopavogur,IS,64.1123,-21.913,43.02,75,20,3.44,few clouds
127,Katsuura,JP,35.1333,140.3,65.37,76,92,13.89,overcast clouds
128,Ouesso,CG,1.6136,16.0517,69.76,89,94,1.97,overcast clouds
129,Beisfjord,NO,68.3751,17.5988,48.04,86,21,5.3,few clouds
130,Sioux Lookout,CA,50.1001,-91.917,39.27,70,100,4.61,overcast clouds
131,Beloha,MG,-25.1667,45.05,65.21,50,0,4.68,clear sky
132,Airai,TL,-8.9266,125.4092,74.32,49,29,4.76,scattered clouds
133,Saskatoon,CA,52.1168,-106.6345,48.18,45,40,8.05,scattered clouds
134,Olafsvik,IS,64.8945,-23.7142,40.44,84,57,19.35,broken clouds
135,Buraydah,SA,26.326,43.975,81.05,14,1,5.95,clear sky
136,Fuerte Olimpo,PY,-21.0415,-57.8738,58.33,55,51,4.92,broken clouds
137,Hasaki,JP,35.7333,140.8333,72.0,80,91,21.16,overcast clouds
138,Cherskiy,RU,68.75,161.3,59.4,35,27,14.25,scattered clouds
139,Lata,PT,40.1629,-8.3327,64.08,86,88,5.12,overcast clouds
140,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.17,88,5,1.52,clear sky
141,Xuddur,SO,4.1213,43.8894,72.54,83,62,13.53,broken clouds
142,Aksu,CN,41.1231,80.2644,82.54,18,100,15.61,overcast clouds
143,Wenling,CN,28.3669,121.36,70.88,73,92,6.53,overcast clouds
144,Namatanai,PG,-3.6667,152.4333,84.7,63,94,11.88,overcast clouds
145,Anadyr,RU,64.75,177.4833,50.5,57,0,6.71,clear sky
146,New Norfolk,AU,-42.7826,147.0587,56.91,53,96,1.57,overcast clouds
147,Erzin,TR,36.9559,36.2,72.1,34,2,6.26,clear sky
148,Honiara,SB,-9.4333,159.95,84.88,69,29,4.27,scattered clouds
149,Chuy,UY,-33.6971,-53.4616,50.41,91,100,5.77,overcast clouds
150,Adrar,MR,20.5022,-10.0711,85.28,11,1,4.99,clear sky
151,Nanortalik,GL,60.1432,-45.2371,38.93,87,100,8.32,overcast clouds
152,Margate,GB,51.3813,1.3862,52.7,84,66,1.01,broken clouds
153,Westport,US,41.1415,-73.3579,75.88,87,0,0.0,clear sky
154,Jiaojiang,CN,28.6803,121.4428,81.0,68,88,6.62,overcast clouds
155,Owando,CG,-0.4819,15.8999,70.23,98,78,2.64,broken clouds
156,Khatanga,RU,71.9667,102.5,36.66,83,100,8.28,overcast clouds
157,Dzilam Gonzalez,MX,21.2833,-88.9333,80.44,80,100,9.31,overcast clouds
158,Tonantins,BR,-2.8731,-67.8022,71.89,99,98,1.07,overcast clouds
159,Faro,PT,37.0194,-7.9322,62.38,88,40,13.8,scattered clouds
160,Carutapera,BR,-1.195,-46.02,72.61,95,16,3.04,few clouds
161,Ciudad Bolivar,VE,8.1222,-63.5497,80.24,65,27,12.8,scattered clouds
162,Sisimiut,GL,66.9395,-53.6735,41.29,61,100,7.58,overcast clouds
163,Griffith,US,41.5284,-87.4237,58.1,85,100,0.0,overcast clouds
164,Arvin,US,35.2091,-118.8284,74.34,31,0,2.3,clear sky
165,Mandiana,GN,10.6333,-8.6833,72.41,89,100,2.68,light rain
166,Pisco,PE,-13.7,-76.2167,62.02,88,75,2.3,mist
167,Gubkinskiy,RU,64.434,76.5026,48.45,55,100,12.57,overcast clouds
168,Vikhorevka,RU,56.1201,101.1636,62.19,48,99,11.39,overcast clouds
169,Bure,ET,10.7,37.0667,61.68,73,100,2.28,overcast clouds
170,Chumikan,RU,54.7183,135.315,34.56,97,100,6.91,overcast clouds
171,Oranjemund,NA,-28.55,16.4333,51.46,81,6,5.35,clear sky
172,Saint Anthony,US,45.0205,-93.218,49.62,55,75,11.5,broken clouds
173,Kresek,ID,-6.1314,106.3797,89.11,69,100,7.78,light rain
174,Maraa,BR,-1.8333,-65.3667,71.26,100,97,1.99,moderate rain
175,Ayan,RU,56.45,138.1667,33.35,96,99,8.68,overcast clouds
176,Estepona,ES,36.4276,-5.1459,71.58,57,100,4.36,overcast clouds
177,Verkhnyaya Inta,RU,65.9811,60.3094,36.99,62,100,18.12,overcast clouds
178,Chabahar,IR,25.2919,60.643,86.43,67,0,6.31,clear sky
179,Esperance,AU,-33.8667,121.9,73.17,50,24,17.47,few clouds
180,Colesberg,ZA,-30.72,25.0972,43.7,90,3,5.26,clear sky
181,Galesong,ID,-5.3166,119.3661,87.82,67,93,2.66,overcast clouds
182,Alice Springs,AU,-23.7,133.8833,69.35,32,0,5.75,clear sky
183,Yichun,CN,47.7,128.9,67.78,23,67,7.49,broken clouds
184,Nagapattinam,IN,10.7667,79.8333,89.55,53,55,11.63,broken clouds
185,Ravar,IR,31.2656,56.8055,74.55,22,3,8.72,clear sky
186,Norman Wells,CA,65.282,-126.8329,42.84,93,75,9.22,light intensity shower rain
187,Gigmoto,PH,13.7796,124.39,84.69,73,100,8.34,overcast clouds
188,Surt,LY,31.2089,16.5887,63.66,50,0,3.6,clear sky
189,Chifeng,CN,42.2683,118.9636,79.66,17,3,6.08,clear sky
190,Souillac,MU,-20.5167,57.5167,71.98,88,40,14.97,light rain
191,Kaputa,ZM,-8.4689,29.6619,65.39,73,64,2.8,broken clouds
192,Otukpo,NG,7.1913,8.1329,72.03,93,96,3.89,overcast clouds
193,Haines Junction,CA,60.7522,-137.5108,57.15,26,20,12.66,few clouds
194,Zhigansk,RU,66.7697,123.3711,47.86,48,26,5.82,scattered clouds
195,Rosetta,EG,31.4044,30.4164,65.62,66,0,16.2,clear sky
196,Upernavik,GL,72.7868,-56.1549,27.25,85,100,2.01,overcast clouds
197,Finschhafen,PG,-6.6024,147.8681,84.94,69,18,8.23,few clouds
198,Igrim,RU,63.1906,64.4162,35.87,90,100,18.75,light rain
199,Shingu,JP,33.7333,135.9833,73.17,61,59,6.96,broken clouds
200,Ostrovnoy,RU,68.0531,39.5131,31.44,69,64,9.89,broken clouds
201,Yerbogachen,RU,61.2767,108.0108,61.66,55,80,5.59,moderate rain
202,Bandarbeyla,SO,9.4942,50.8122,85.59,62,100,19.62,overcast clouds
203,Teguldet,RU,57.3064,88.1667,67.86,40,36,5.44,scattered clouds
204,Faratsiho,MG,-19.4,46.95,50.76,76,2,4.21,clear sky
205,Mizdah,LY,31.4451,12.9801,60.91,21,0,2.57,clear sky
206,Kota Belud,MY,6.351,116.4305,84.45,74,97,4.34,overcast clouds
207,San Patricio,US,28.017,-97.5169,82.54,93,15,13.65,few clouds
208,Birjand,IR,32.8663,59.2211,64.87,36,44,4.61,dust
209,Preobrazheniye,RU,42.9019,133.9064,55.63,88,48,2.59,scattered clouds
210,Ekhabi,RU,53.5102,142.9671,36.3,98,100,2.37,light rain
211,Itarema,BR,-2.9248,-39.9167,74.71,90,3,7.4,clear sky
212,Suez,EG,29.9737,32.5263,64.63,54,3,3.58,clear sky
213,Aripuana,BR,-9.1667,-60.6333,68.32,80,0,0.27,clear sky
214,Portland,US,45.5234,-122.6762,69.78,53,20,8.05,few clouds
215,Aklavik,CA,68.2191,-135.0107,34.97,85,99,5.37,overcast clouds
216,Petrodvorets,RU,59.885,29.8958,44.58,66,0,10.25,clear sky
217,Panjab,AF,34.388,67.0233,53.64,37,21,10.4,few clouds
218,Rio Grande City,US,26.3798,-98.8203,82.87,79,0,19.26,clear sky
219,Kamennomostskoye,RU,43.7372,43.0514,59.5,54,4,4.16,clear sky
220,New Iberia,US,30.0035,-91.8187,76.1,78,0,11.5,clear sky
221,Bria,CF,6.5423,21.9863,71.04,82,100,1.99,overcast clouds
222,Rincon,US,32.296,-81.2354,75.85,91,100,8.05,overcast clouds
223,Saint-Joseph,RE,-21.3667,55.6167,66.58,72,11,8.86,few clouds
224,Wanaka,NZ,-44.7,169.15,49.12,68,42,5.17,scattered clouds
225,Husavik,IS,66.0449,-17.3389,39.06,98,100,11.05,overcast clouds
226,Lhokseumawe,ID,5.1801,97.1507,86.5,62,76,1.21,broken clouds
227,Fortuna,US,40.5982,-124.1573,52.93,88,100,11.5,overcast clouds
228,Kyra,RU,49.5776,111.9753,69.58,25,90,15.1,overcast clouds
229,Torbay,CA,47.6666,-52.7314,52.57,54,100,12.66,overcast clouds
230,Christchurch,NZ,-43.5333,172.6333,58.41,70,26,9.22,scattered clouds
231,Pingliang,CN,35.5392,106.6861,74.01,41,2,9.35,clear sky
232,Mabaruma,GY,8.2,-59.7833,73.0,96,100,4.56,overcast clouds
233,Sfantu Gheorghe,RO,45.8667,25.7833,59.83,94,72,4.45,broken clouds
234,Tynne,UA,50.6015,26.1849,50.29,85,56,18.48,broken clouds
235,Yumen,CN,40.2833,97.2,80.2,13,0,23.15,clear sky
236,Antofagasta,CL,-23.65,-70.4,58.28,78,31,8.19,scattered clouds
237,Asau,RO,46.4333,26.4,59.95,56,97,1.45,overcast clouds
238,Yarmouth,US,41.7057,-70.2286,66.67,94,0,8.05,mist
239,Nyurba,RU,63.2842,118.3319,62.91,40,77,5.3,broken clouds
240,Caravelas,BR,-17.7125,-39.2481,70.54,73,0,6.98,clear sky
241,Karymskoye,RU,51.6167,114.35,71.69,24,26,17.98,scattered clouds
242,Monrovia,LR,6.3005,-10.7969,75.7,90,100,8.46,moderate rain
243,Hithadhoo,MV,-0.6,73.0833,83.28,69,100,10.38,overcast clouds
244,Paita,PE,-5.0892,-81.1144,66.4,82,92,14.38,overcast clouds
245,Kizukuri,JP,40.8061,140.3861,66.11,65,99,0.67,light rain
246,Shahr-E Kord,IR,32.3256,50.8644,44.37,31,0,2.3,clear sky
247,Lompoc,US,34.6391,-120.4579,57.69,82,0,8.05,clear sky
248,Karratha,AU,-20.7377,116.8463,81.16,65,100,6.8,overcast clouds
249,Jumla,NP,29.2747,82.1838,66.13,39,95,4.94,overcast clouds
250,Zhangjiakou,CN,40.81,114.8794,84.38,17,99,3.87,overcast clouds
251,Hovd,MN,48.0056,91.6419,68.14,17,57,3.4,broken clouds
252,Flinders,AU,-34.5833,150.8552,65.37,80,83,7.76,light rain
253,Castle Douglas,GB,54.9409,-3.9278,51.64,97,100,10.07,overcast clouds
254,Cayenne,GF,4.9333,-52.3333,77.09,1,0,2.3,clear sky
255,Glenwood Springs,US,39.5505,-107.3248,50.92,80,75,6.91,broken clouds
256,Kaili,ID,-3.4626,120.2147,76.86,72,50,4.27,scattered clouds
257,Watertown,US,42.3709,-71.1828,73.85,86,0,3.0,clear sky
258,Luwuk,ID,-0.9516,122.7875,85.93,65,31,5.5,scattered clouds
259,Porto Belo,BR,-27.1578,-48.5531,56.25,82,0,4.81,clear sky
260,Burnie,AU,-41.0667,145.9167,57.94,60,19,3.38,few clouds
261,Donegal,IE,54.65,-8.1167,53.65,93,100,8.68,overcast clouds
262,Mersing,MY,2.4312,103.8405,89.51,74,40,2.3,scattered clouds
263,Viedma,AR,-40.8135,-62.9967,55.13,42,100,15.1,overcast clouds
264,Chapais,CA,49.7834,-74.8492,42.58,74,83,6.31,broken clouds
265,Nome,US,64.5011,-165.4064,65.16,44,0,6.91,clear sky
266,Talcahuano,CL,-36.7167,-73.1167,53.28,94,100,6.91,overcast clouds
267,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,53.38,83,7,5.17,clear sky
268,Venado Tuerto,AR,-33.7456,-61.9688,52.77,45,0,5.68,clear sky
269,Banda Aceh,ID,5.5577,95.3222,86.52,67,15,16.28,few clouds
270,Anito,PH,12.4497,125.2886,85.71,73,100,11.05,overcast clouds
271,Mahbubnagar,IN,16.7333,77.9833,83.79,54,3,16.78,clear sky
272,Diffa,NE,13.3154,12.6113,81.19,26,99,6.22,overcast clouds
273,Klaksvik,FO,62.2266,-6.589,47.32,89,100,12.88,overcast clouds
274,Wakkanai,JP,45.4094,141.6739,75.18,41,20,16.11,few clouds
275,Valparaiso,CL,-33.0393,-71.6273,58.48,77,0,2.3,clear sky
276,Whitehorse,CA,60.7161,-135.0538,63.37,26,20,12.66,few clouds
277,Marathon,US,44.9,-89.7668,53.13,63,100,9.22,overcast clouds
278,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,61.25,32,0,6.02,clear sky
279,Coro,VE,11.4045,-69.6734,77.27,82,2,14.76,clear sky
280,Pandan,PH,14.0453,124.1694,84.02,80,100,4.36,moderate rain
281,Inirida,CO,3.8653,-67.9239,71.24,99,100,2.57,overcast clouds
282,Alegrete,BR,-29.7831,-55.7919,50.85,84,76,2.68,broken clouds
283,San Cristobal,VE,7.7669,-72.225,71.78,84,21,3.0,few clouds
284,Broome,US,42.2506,-75.833,76.64,75,67,1.81,broken clouds
285,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,97,100,4.14,overcast clouds
